happiness,social,open_mindedness,giving
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
80,90,70,80
76,83,73,82
76,83,73,82
76,83,73,82
76,83,73,82
76,83,73,82
76,83,73,82
76,83,73,82
76,83,73,82
76,83,73,82
76,83,73,82
76,83,73,82
76,83,73,82
76,83,73,82
76,83,73,82
76,83,73,82
76,83,73,82
77,83,73,83
77,83,73,83
77,83,73,83
77,83,73,83
77,83,73,83
77,83,73,83
77,83,73,83
77,83,73,83
77,83,73,83
77,83,73,83
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
78,83,73,84
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
79,84,73,83
