happiness,social,open_mindedness,giving
40,60,87,72
40,60,87,72
40,60,87,72
40,60,87,72
40,60,87,72
40,60,87,72
40,60,87,72
40,60,87,72
40,60,87,72
49,55,85,64
49,55,85,64
49,55,85,64
49,55,85,64
49,55,85,64
49,55,85,64
49,55,85,64
49,55,85,64
49,55,85,64
49,55,85,64
49,55,85,64
49,55,85,64
49,55,85,64
49,55,85,64
49,55,85,64
49,55,85,64
49,55,85,64
49,55,85,64
49,55,85,64
49,55,85,64
49,55,85,64
49,55,85,64
49,55,85,64
49,55,85,64
49,55,85,64
49,55,85,64
51,56,85,66
51,56,85,66
51,56,85,66
51,56,85,66
51,56,85,66
51,56,85,66
51,56,85,66
51,56,85,66
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
53,55,85,68
57,56,84,64
57,56,84,64
57,56,84,64
57,56,84,64
57,56,84,64
57,56,84,64
57,56,84,64
57,56,84,64
57,56,84,64
58,56,84,65
58,56,84,65
58,56,84,65
58,56,84,65
58,56,84,65
58,56,84,65
58,56,84,65
58,56,84,65
58,56,84,65
58,56,84,65
58,56,84,65
58,56,84,65
58,56,84,65
58,56,84,65
58,56,84,65
58,56,84,65
58,56,84,65
59,56,84,66
59,56,84,66
