happiness,social,open_mindedness,giving
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
75,90,65,90
68,87,64,84
68,87,64,84
68,87,64,84
68,87,64,84
68,87,64,84
68,87,64,84
68,87,64,84
68,87,64,84
68,87,64,84
68,87,64,84
68,87,64,84
68,87,64,84
68,87,64,84
68,87,64,84
68,87,64,84
68,87,64,84
68,87,64,84
68,87,64,84
68,87,64,84
68,87,64,84
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
69,87,64,85
