happiness,social,open_mindedness,giving
12,88,8,43
12,88,8,43
12,88,8,43
12,88,8,43
12,88,8,43
12,88,8,43
12,88,8,43
12,88,8,43
14,87,8,45
14,87,8,45
14,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
13,87,8,45
15,88,8,47
15,88,8,47
15,88,8,47
15,88,8,47
15,88,8,47
15,88,8,47
15,88,8,47
15,88,8,47
15,88,8,47
15,88,8,47
15,88,8,47
15,88,8,47
15,88,8,47
15,88,8,47
15,88,8,47
15,88,8,47
15,88,8,47
15,88,8,47
15,88,8,47
15,88,8,47
15,88,8,47
16,88,8,46
16,88,8,46
16,88,8,46
16,88,8,46
16,88,8,46
16,88,8,46
16,88,8,46
16,88,8,46
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
18,89,8,44
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
20,88,8,46
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
18,87,8,47
19,87,8,48
19,87,8,48
19,87,8,48
19,87,8,48
19,87,8,48
21,86,8,49
21,86,8,49
21,86,8,49
21,86,8,49
21,86,8,49
21,86,8,49
21,86,8,49
21,86,8,49
21,86,8,49
21,86,8,49
21,86,8,49
21,86,8,49
21,86,8,49
21,86,8,49
21,86,8,49
21,86,8,49
21,86,8,49
21,86,8,49
21,86,8,49
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
22,85,8,48
24,84,8,49
24,84,8,49
24,84,8,49
24,84,8,49
24,84,8,49
24,84,8,49
24,84,8,49
24,84,8,49
24,84,8,49
24,84,8,49
24,84,8,49
24,84,8,49
24,84,8,49
24,84,8,49
24,84,8,49
24,84,8,49
24,84,8,49
24,84,8,49
24,84,8,49
24,84,8,49
24,84,8,49
24,84,8,49
24,84,8,49
24,84,8,49
24,84,8,49
24,84,8,49
24,84,8,49
24,84,8,49
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
25,84,8,50
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
27,83,8,52
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
28,83,8,53
29,83,8,54
29,83,8,54
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
30,82,8,55
31,82,8,56
31,82,8,56
31,82,8,56
31,82,8,56
31,82,8,56
31,82,8,56
31,82,8,56
31,82,8,56
31,82,8,56
31,82,8,56
31,82,8,56
31,82,8,56
31,82,8,56
31,82,8,56
31,82,8,56
31,82,8,56
32,82,8,57
32,82,8,57
32,82,8,57
32,82,8,57
32,82,8,57
32,82,8,57
32,82,8,57
32,82,8,57
32,82,8,57
32,82,8,57
32,82,8,57
32,82,8,57
32,82,8,57
32,82,8,57
32,82,8,57
32,82,8,57
32,82,8,57
32,82,8,57
33,82,8,57
33,82,8,57
33,82,8,57
33,82,8,57
33,82,8,57
33,82,8,57
33,82,8,57
33,82,8,57
33,82,8,57
33,82,8,57
33,82,8,57
34,82,8,58
34,82,8,58
34,82,8,58
34,82,8,58
34,82,8,58
34,82,8,58
34,82,8,58
34,82,8,58
34,82,8,58
34,82,8,58
34,82,8,58
34,82,8,58
34,82,8,58
34,82,8,58
34,82,8,58
34,82,8,58
34,82,8,58
34,82,8,58
34,82,8,58
35,82,8,59
