happiness,social,open_mindedness,giving
50,50,50,50
50,50,50,50
50,50,50,50
50,50,50,50
50,50,50,50
50,50,50,50
50,50,50,50
51,50,50,49
51,50,50,49
51,50,50,49
51,50,50,49
51,50,50,49
51,50,50,49
51,50,50,49
51,50,50,49
51,50,50,49
51,50,50,49
51,50,50,49
51,50,50,49
51,50,50,49
51,50,50,49
51,50,50,49
51,50,50,49
51,50,50,49
51,50,50,49
51,50,50,49
51,50,50,49
51,50,50,49
51,50,50,49
51,50,50,49
48,51,50,51
48,51,50,51
48,51,50,51
48,51,50,51
48,51,50,51
48,51,50,51
48,51,50,51
48,51,50,51
48,51,50,51
48,51,50,51
48,51,50,51
48,51,50,51
48,51,50,51
48,51,50,51
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
50,52,50,53
53,53,50,50
53,53,50,50
53,53,50,50
55,54,50,52
55,54,50,52
55,54,50,52
55,54,50,52
55,54,50,52
55,54,50,52
55,54,50,52
55,54,50,52
55,54,50,52
55,54,50,52
55,54,50,52
55,54,50,52
55,54,50,52
55,54,50,52
55,54,50,52
55,54,50,52
55,54,50,52
55,54,50,52
55,54,50,52
55,54,50,52
55,54,50,52
55,54,50,52
55,54,50,52
55,54,50,52
55,54,50,52
55,54,50,52
55,54,50,52
55,54,50,52
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
65,59,52,60
67,60,52,61
67,60,52,61
67,60,52,61
67,60,52,61
67,60,52,61
67,60,52,61
67,60,52,61
67,60,52,61
67,60,52,61
67,60,52,61
67,60,52,61
67,60,52,61
67,60,52,61
67,60,52,61
67,60,52,61
67,60,52,61
67,60,52,61
67,60,52,61
67,60,52,61
67,60,52,61
67,60,52,61
67,60,52,61
67,60,52,61
67,60,52,61
67,60,52,61
68,60,52,61
68,60,52,61
68,60,52,61
68,60,52,61
68,60,52,61
68,60,52,61
68,60,52,61
68,60,52,61
68,60,52,61
68,60,52,61
68,60,52,61
68,60,52,61
68,60,52,61
68,60,52,61
68,60,52,61
68,60,52,61
68,60,52,61
68,60,52,61
68,60,52,61
68,60,52,61
68,60,52,61
68,60,52,61
68,60,52,61
68,60,52,61
68,60,52,61
68,60,52,61
68,60,52,61
68,60,52,61
68,60,52,61
68,60,52,61
68,60,52,61
