happiness,social,open_mindedness,giving
75,15,25,80
75,15,25,80
75,15,25,80
76,15,25,81
76,15,25,81
76,15,25,81
76,15,25,81
76,15,25,81
76,15,25,81
76,15,25,81
76,15,25,81
76,15,25,81
76,15,25,81
76,15,25,81
76,15,25,81
76,15,25,81
78,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
79,16,25,79
80,16,25,80
80,16,25,80
80,16,25,80
80,16,25,80
80,16,25,80
80,16,25,80
80,16,25,80
80,16,25,80
80,16,25,80
80,16,25,80
80,16,25,80
80,16,25,80
80,16,25,80
80,16,25,80
80,16,25,80
80,16,25,80
80,16,25,80
81,16,25,81
81,16,25,81
81,16,25,81
81,16,25,81
81,16,25,81
81,16,25,81
81,16,25,81
81,16,25,81
81,16,25,81
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
71,21,27,84
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
73,22,27,83
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
75,23,27,82
69,29,29,79
70,29,29,78
70,29,29,78
70,29,29,78
70,29,29,78
70,29,29,78
70,29,29,78
70,29,29,78
70,29,29,78
70,29,29,78
71,29,29,79
71,29,29,79
71,29,29,79
71,29,29,79
71,29,29,79
71,29,29,79
71,29,29,79
71,29,29,79
70,29,29,78
70,29,29,78
70,29,29,78
66,31,30,74
