happiness,social,open_mindedness,giving
83,65,85,91
83,65,85,91
83,65,85,91
83,65,85,91
83,65,85,91
83,65,85,91
83,65,85,91
83,65,85,91
83,65,85,91
83,65,85,91
83,65,85,91
83,65,85,91
83,65,85,91
83,65,85,91
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
82,65,85,92
83,65,85,93
83,65,85,93
83,65,85,93
83,65,85,93
83,65,85,93
83,65,85,93
83,65,85,93
83,65,85,93
78,67,84,90
78,67,84,90
78,67,84,90
78,67,84,90
78,67,84,90
78,67,84,90
78,67,84,90
78,67,84,90
80,68,84,92
80,68,84,92
80,68,84,92
80,68,84,92
80,68,84,92
80,68,84,92
80,68,84,92
80,68,84,92
80,68,84,92
80,68,84,92
80,68,84,92
80,68,84,92
80,68,84,92
80,68,84,92
80,68,84,92
80,68,84,92
80,68,84,92
80,68,84,92
80,68,84,92
80,68,84,92
80,68,84,92
80,68,84,92
80,68,84,92
80,68,84,92
80,68,84,92
80,68,84,92
80,68,84,92
80,68,84,92
80,68,84,92
80,68,84,92
80,68,84,92
80,68,84,92
80,68,84,92
80,68,84,92
80,68,84,92
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
55,80,80,71
55,80,80,71
55,80,80,71
55,80,80,71
55,80,80,71
55,80,80,71
55,80,80,71
55,80,80,71
55,80,80,71
55,80,80,71
55,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
56,80,80,71
55,80,80,71
55,80,80,71
55,80,80,71
55,80,80,71
55,80,80,71
55,80,80,71
55,80,80,71
55,80,80,71
55,80,80,71
55,80,80,71
55,80,80,71
55,80,80,71
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
44,79,80,81
52,75,78,74
52,75,78,74
52,75,78,74
52,75,78,74
52,75,78,74
52,75,78,74
52,75,78,74
52,75,78,74
52,75,78,74
52,75,78,74
52,75,78,74
52,75,78,74
54,74,78,76
54,74,78,76
54,74,78,76
54,74,78,76
54,74,78,76
54,74,78,76
54,74,78,76
54,74,78,76
54,74,78,76
54,74,78,76
54,74,78,76
54,74,78,76
54,74,78,76
54,74,78,76
54,74,78,76
54,74,78,76
54,74,78,76
54,74,78,76
54,74,78,76
54,74,78,76
54,74,78,76
54,74,78,76
54,74,78,76
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
61,77,77,80
