happiness,social,open_mindedness,giving
93,87,50,99
93,87,50,99
93,87,50,99
93,87,50,99
93,87,50,99
93,87,50,99
94,87,50,100
94,87,50,100
94,87,50,100
94,87,50,100
94,87,50,100
94,87,50,100
94,87,50,100
94,87,50,100
94,87,50,100
94,87,50,100
94,87,50,100
94,87,50,100
94,87,50,100
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
83,90,52,91
84,90,52,92
84,90,52,92
84,90,52,92
84,90,52,92
84,90,52,92
84,90,52,92
84,90,52,92
84,90,52,92
84,90,52,92
84,90,52,92
84,90,52,92
84,90,52,92
84,90,52,92
84,90,52,92
84,90,52,92
84,90,52,92
84,90,52,92
84,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
85,90,52,92
71,83,55,80
71,83,55,80
71,83,55,80
71,83,55,80
71,83,55,80
71,83,55,80
71,83,55,80
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
72,83,55,81
70,82,55,83
70,82,55,83
70,82,55,83
70,82,55,83
