happiness,social,open_mindedness,giving
40,62,33,1
40,62,33,1
40,62,33,1
40,62,33,1
40,62,33,1
40,62,33,1
40,62,33,1
40,62,33,1
40,62,33,1
40,62,33,1
40,62,33,1
40,62,33,1
40,62,33,1
40,62,33,1
40,62,33,1
40,62,33,1
40,62,33,1
40,62,33,1
40,62,33,1
40,62,33,1
40,62,33,1
40,62,33,1
40,62,33,1
47,66,34,7
47,66,34,7
47,66,34,7
47,66,34,7
47,66,34,7
47,66,34,7
47,66,34,7
47,66,34,7
47,66,34,7
47,66,34,7
47,66,34,7
47,66,34,7
47,66,34,7
54,69,35,13
54,69,35,13
54,69,35,13
54,69,35,13
54,69,35,13
54,69,35,13
54,69,35,13
54,69,35,13
54,69,35,13
54,69,35,13
54,69,35,13
54,69,35,13
54,69,35,13
54,69,35,13
54,69,35,13
54,69,35,13
54,69,35,13
54,69,35,13
54,69,35,13
54,69,35,13
54,69,35,13
54,69,35,13
54,69,35,13
54,69,35,13
54,69,35,13
54,69,35,13
54,69,35,13
54,69,35,13
54,69,35,13
54,69,35,13
54,69,35,13
54,69,35,13
54,69,35,13
60,66,36,18
60,66,36,18
60,66,36,18
60,66,36,18
60,66,36,18
60,66,36,18
60,66,36,18
60,66,36,18
60,66,36,18
60,66,36,18
60,66,36,18
60,66,36,18
60,66,36,18
61,65,36,19
61,65,36,19
61,65,36,19
61,65,36,19
61,65,36,19
61,65,36,19
61,65,36,19
61,65,36,19
66,67,37,23
66,67,37,23
66,67,37,23
66,67,37,23
66,67,37,23
66,67,37,23
66,67,37,23
66,67,37,23
66,67,37,23
66,67,37,23
66,67,37,23
66,67,37,23
66,67,37,23
66,67,37,23
66,67,37,23
67,67,37,22
67,67,37,22
67,67,37,22
67,67,37,22
67,67,37,22
67,67,37,22
67,67,37,22
67,67,37,22
67,67,37,22
67,67,37,22
67,67,37,22
67,67,37,22
67,67,37,22
67,67,37,22
67,67,37,22
67,67,37,22
67,67,37,22
69,69,38,26
69,69,38,26
69,69,38,26
69,69,38,26
69,69,38,26
69,69,38,26
69,69,38,26
69,69,38,26
69,69,38,26
69,69,38,26
69,69,38,26
69,69,38,26
69,69,38,26
69,69,38,26
69,69,38,26
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
65,71,39,30
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
54,76,40,35
57,78,40,38
