happiness,social,open_mindedness,giving
25,75,80,50
25,75,80,50
25,75,80,50
25,75,80,50
25,75,80,50
25,75,80,50
25,75,80,50
25,75,80,50
25,75,80,50
25,75,80,50
25,75,80,50
25,75,80,50
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
28,76,80,53
26,75,80,52
26,75,80,52
26,75,80,52
26,75,80,52
26,75,80,52
26,75,80,52
26,75,80,52
26,75,80,52
26,75,80,52
26,75,80,52
26,75,80,52
29,77,80,55
29,77,80,55
29,77,80,55
29,77,80,55
29,77,80,55
29,77,80,55
29,77,80,55
29,77,80,55
29,77,80,55
29,77,80,55
29,77,80,55
29,77,80,55
29,77,80,55
29,77,80,55
29,77,80,55
29,77,80,55
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
31,78,80,57
33,79,80,56
33,79,80,56
33,79,80,56
33,79,80,56
33,79,80,56
33,79,80,56
33,79,80,56
33,79,80,56
33,79,80,56
33,79,80,56
33,79,80,56
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
36,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
35,80,80,59
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
37,81,80,60
