happiness,social,open_mindedness,giving
99,74,69,37
99,74,69,37
99,74,69,37
99,74,69,37
99,74,69,37
99,74,69,37
99,74,69,37
99,74,69,37
99,74,69,37
99,74,69,37
99,74,69,37
99,74,69,37
99,74,69,37
99,74,69,37
99,74,69,37
99,74,69,37
99,74,69,37
99,74,69,37
99,74,69,37
99,74,69,37
99,74,69,37
99,74,69,37
99,74,69,37
99,74,69,37
99,74,69,37
99,74,69,37
99,74,69,37
99,74,69,37
94,77,68,42
94,77,68,42
94,77,68,42
94,77,68,42
94,77,68,42
94,77,68,42
94,77,68,42
94,77,68,42
94,77,68,42
94,77,68,42
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
91,78,68,45
88,76,68,48
88,76,68,48
88,76,68,48
88,76,68,48
88,76,68,48
88,76,68,48
88,76,68,48
88,76,68,48
88,76,68,48
88,76,68,48
88,76,68,48
88,76,68,48
88,76,68,48
88,76,68,48
88,76,68,48
88,76,68,48
88,76,68,48
88,76,68,48
88,76,68,48
88,76,68,48
88,76,68,48
88,76,68,48
88,76,68,48
88,76,68,48
88,76,68,48
88,76,68,48
88,76,68,48
88,76,68,48
88,76,68,48
88,76,68,48
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
85,78,68,51
