happiness,social,open_mindedness,giving
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
10,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
9,80,80,90
