happiness,social,open_mindedness,giving
95,55,55,50
95,55,55,50
95,55,55,50
95,55,55,50
95,55,55,50
95,55,55,50
95,55,55,50
95,55,55,50
95,55,55,50
95,55,55,50
95,55,55,50
95,55,55,50
95,55,55,50
95,55,55,50
95,55,55,50
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
93,56,55,51
91,57,55,52
91,57,55,52
91,57,55,52
91,57,55,52
91,57,55,52
91,57,55,52
91,57,55,52
91,57,55,52
91,57,55,52
91,57,55,52
91,57,55,52
91,57,55,52
89,58,55,53
89,58,55,53
89,58,55,53
89,58,55,53
88,58,55,54
88,58,55,54
88,58,55,54
88,58,55,54
88,58,55,54
88,58,55,54
88,58,55,54
88,58,55,54
88,58,55,54
88,58,55,54
88,58,55,54
88,58,55,54
88,58,55,54
88,58,55,54
88,58,55,54
88,58,55,54
88,58,55,54
88,58,55,54
88,58,55,54
87,58,55,53
87,58,55,53
87,58,55,53
87,58,55,53
87,58,55,53
87,58,55,53
87,58,55,53
87,58,55,53
87,58,55,53
86,58,55,54
86,58,55,54
86,58,55,54
86,58,55,54
86,58,55,54
86,58,55,54
86,58,55,54
86,58,55,54
86,58,55,54
86,58,55,54
86,58,55,54
86,58,55,54
86,58,55,54
86,58,55,54
86,58,55,54
86,58,55,54
86,58,55,54
86,58,55,54
86,58,55,54
86,58,55,54
86,58,55,54
86,58,55,54
86,58,55,54
86,58,55,54
86,58,55,54
86,58,55,54
86,58,55,54
86,58,55,54
