happiness,social,open_mindedness,giving
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
40,95,40,35
44,93,40,38
44,93,40,38
44,93,40,38
44,93,40,38
44,93,40,38
44,93,40,38
44,93,40,38
44,93,40,38
44,93,40,38
44,93,40,38
44,93,40,38
44,93,40,38
44,93,40,38
44,93,40,38
44,93,40,38
44,93,40,38
44,93,40,38
44,93,40,38
48,91,41,41
48,91,41,41
48,91,41,41
48,91,41,41
48,91,41,41
48,91,41,41
48,91,41,41
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
49,91,41,40
