happiness,social,open_mindedness,giving
5,15,55,5
5,15,55,5
5,15,55,5
5,15,55,5
5,15,55,5
5,15,55,5
5,15,55,5
5,15,55,5
5,15,55,5
5,15,55,5
13,19,57,12
13,19,57,12
13,19,57,12
13,19,57,12
13,19,57,12
13,19,57,12
13,19,57,12
13,19,57,12
13,19,57,12
13,19,57,12
13,19,57,12
13,19,57,12
13,19,57,12
13,19,57,12
13,19,57,12
13,19,57,12
21,23,59,19
21,23,59,19
21,23,59,19
21,23,59,19
21,23,59,19
21,23,59,19
21,23,59,19
21,23,59,19
21,23,59,19
21,23,59,19
21,23,59,19
21,23,59,19
21,23,59,19
21,23,59,19
28,26,60,25
28,26,60,25
28,26,60,25
28,26,60,25
28,26,60,25
28,26,60,25
28,26,60,25
28,26,60,25
30,27,60,26
30,27,60,26
30,27,60,26
30,27,60,26
30,27,60,26
30,27,60,26
30,27,60,26
30,27,60,26
30,27,60,26
30,27,60,26
30,27,60,26
30,27,60,26
30,27,60,26
30,27,60,26
30,27,60,26
30,27,60,26
30,27,60,26
30,27,60,26
36,30,59,31
36,30,59,31
36,30,59,31
36,30,59,31
36,30,59,31
36,30,59,31
36,30,59,31
36,30,59,31
36,30,59,31
36,30,59,31
36,30,59,31
36,30,59,31
36,30,59,31
36,30,59,31
36,30,59,31
36,30,59,31
36,30,59,31
36,30,59,31
36,30,59,31
36,30,59,31
36,30,59,31
36,30,59,31
36,30,59,31
36,30,59,31
36,30,59,31
36,30,59,31
36,30,59,31
36,30,59,31
36,30,59,31
36,30,59,31
40,32,58,35
40,32,58,35
40,32,58,35
40,32,58,35
40,32,58,35
40,32,58,35
40,32,58,35
40,32,58,35
40,32,58,35
40,32,58,35
40,32,58,35
40,32,58,35
40,32,58,35
40,32,58,35
40,32,58,35
40,32,58,35
40,32,58,35
40,32,58,35
40,32,58,35
40,32,58,35
40,32,58,35
39,32,58,34
39,32,58,34
39,32,58,34
39,32,58,34
39,32,58,34
39,32,58,34
39,32,58,34
39,32,58,34
39,32,58,34
39,32,58,34
39,32,58,34
39,32,58,34
43,34,59,38
43,34,59,38
43,34,59,38
43,34,59,38
43,34,59,38
43,34,59,38
43,34,59,38
43,34,59,38
43,34,59,38
43,34,59,38
43,34,59,38
43,34,59,38
43,34,59,38
43,34,59,38
43,34,59,38
43,34,59,38
43,34,59,38
43,34,59,38
43,34,59,38
43,34,59,38
43,34,59,38
43,34,59,38
43,34,59,38
43,34,59,38
43,34,59,38
43,34,59,38
43,34,59,38
43,34,59,38
43,34,59,38
42,34,59,37
42,34,59,37
42,34,59,37
42,34,59,37
42,34,59,37
42,34,59,37
42,34,59,37
42,34,59,37
42,34,59,37
42,34,59,37
42,34,59,37
42,34,59,37
42,34,59,37
42,34,59,37
42,34,59,37
42,34,59,37
42,34,59,37
42,34,59,37
42,34,59,37
42,34,59,37
47,36,60,41
47,36,60,41
46,35,60,40
46,35,60,40
46,35,60,40
46,35,60,40
46,35,60,40
46,35,60,40
46,35,60,40
46,35,60,40
46,35,60,40
46,35,60,40
46,35,60,40
46,35,60,40
46,35,60,40
46,35,60,40
46,35,60,40
46,35,60,40
46,35,60,40
46,35,60,40
46,35,60,40
46,35,60,40
46,35,60,40
46,35,60,40
46,35,60,40
46,35,60,40
46,35,60,40
46,35,60,40
46,35,60,40
46,35,60,40
46,35,60,40
46,35,60,40
46,35,60,40
46,35,60,40
46,35,60,40
46,35,60,40
46,35,60,40
51,37,61,44
51,37,61,44
51,37,61,44
51,37,61,44
54,38,61,46
54,38,61,46
54,38,61,46
54,38,61,46
55,38,61,46
55,38,61,46
55,38,61,46
55,38,61,46
55,38,61,46
55,38,61,46
55,38,61,46
55,38,61,46
55,38,61,46
55,38,61,46
55,38,61,46
55,38,61,46
55,38,61,46
55,38,61,46
55,38,61,46
55,38,61,46
55,38,61,46
55,38,61,46
55,38,61,46
55,38,61,46
55,38,61,46
55,38,61,46
55,38,61,46
58,39,61,48
58,39,61,48
58,39,61,48
58,39,61,48
58,39,61,48
60,40,61,50
60,40,61,50
60,40,61,50
60,40,61,50
60,40,61,50
60,40,61,50
60,40,61,50
60,40,61,50
60,40,61,50
60,40,61,50
60,40,61,50
60,40,61,50
60,40,61,50
60,40,61,50
60,40,61,50
60,40,61,50
60,40,61,50
60,40,61,50
60,40,61,50
60,40,61,50
60,40,61,50
60,40,61,50
60,40,61,50
60,40,61,50
60,40,61,50
60,40,61,50
67,43,62,56
67,43,62,56
67,43,62,56
67,43,62,56
67,43,62,56
67,43,62,56
67,43,62,56
67,43,62,56
67,43,62,56
68,43,62,55
68,43,62,55
68,43,62,55
68,43,62,55
68,43,62,55
68,43,62,55
68,43,62,55
68,43,62,55
68,43,62,55
68,43,62,55
68,43,62,55
68,43,62,55
68,43,62,55
68,43,62,55
68,43,62,55
68,43,62,55
68,43,62,55
68,43,62,55
68,43,62,55
68,43,62,55
69,44,62,57
69,44,62,57
69,44,62,57
69,44,62,57
69,44,62,57
69,44,62,57
69,44,62,57
69,44,62,57
69,44,62,57
69,44,62,57
69,44,62,57
69,44,62,57
69,44,62,57
69,44,62,57
69,44,62,57
69,44,62,57
69,44,62,57
69,44,62,57
69,44,62,57
69,44,62,57
69,44,62,57
69,44,62,57
69,44,62,57
69,44,62,57
69,44,62,57
69,44,62,57
69,44,62,57
69,44,62,57
69,44,62,57
69,44,62,57
69,44,62,57
69,44,62,57
68,45,62,56
68,45,62,56
68,45,62,56
68,45,62,56
68,45,62,56
68,45,62,56
68,45,62,56
68,45,62,56
68,45,62,56
68,45,62,56
68,45,62,56
68,45,62,56
68,45,62,56
68,45,62,56
68,45,62,56
68,45,62,56
68,45,62,56
68,45,62,56
68,45,62,56
68,45,62,56
68,45,62,56
69,45,62,57
69,45,62,57
69,45,62,57
69,45,62,57
68,45,62,58
68,45,62,58
68,45,62,58
68,45,62,58
68,45,62,58
68,45,62,58
68,45,62,58
68,45,62,58
68,45,62,58
67,45,62,58
65,46,62,60
65,46,62,60
65,46,62,60
65,46,62,60
65,46,62,60
65,46,62,60
65,46,62,60
65,46,62,60
69,53,59,52
69,53,59,52
69,53,59,52
69,53,59,52
69,53,59,52
69,53,59,52
69,53,59,52
69,53,59,52
69,53,59,52
69,53,59,52
69,53,59,52
69,53,59,52
69,53,59,52
69,53,59,52
69,53,59,52
69,53,59,52
69,53,59,52
69,53,59,52
69,53,59,52
69,53,59,52
69,53,59,52
69,53,59,52
69,53,59,52
69,53,59,52
69,53,59,52
69,53,59,52
69,53,59,52
67,54,59,50
67,54,59,50
67,54,59,50
67,54,59,50
67,54,59,50
67,54,59,50
67,54,59,50
67,54,59,50
67,54,59,50
67,54,59,50
67,54,59,50
69,55,59,52
69,55,59,52
69,55,59,52
69,55,59,52
71,56,59,53
71,56,59,53
71,56,59,53
71,56,59,53
73,55,59,55
73,55,59,55
73,55,59,55
73,55,59,55
73,55,59,55
73,55,59,55
73,55,59,55
73,55,59,55
73,55,59,55
73,55,59,55
73,55,59,55
73,55,59,55
74,55,59,55
74,55,59,55
74,55,59,55
74,55,59,55
74,55,59,55
74,55,59,55
74,55,59,55
74,55,59,55
74,55,59,55
74,55,59,55
74,55,59,55
74,55,59,55
74,55,59,55
74,55,59,55
74,55,59,55
74,55,59,55
74,55,59,55
74,55,59,55
74,55,59,55
74,55,59,55
74,55,59,55
74,55,59,55
74,55,59,55
74,55,59,55
74,55,59,55
74,55,59,55
75,55,59,56
75,55,59,56
76,54,59,57
76,54,59,57
76,54,59,57
76,54,59,57
76,54,59,57
76,54,59,57
76,54,59,57
76,54,59,57
76,54,59,57
76,54,59,57
76,54,59,57
76,54,59,57
76,54,59,57
76,54,59,57
76,54,59,57
76,54,59,57
76,54,59,57
76,54,59,57
76,54,59,57
76,54,59,57
76,54,59,57
76,54,59,57
76,54,59,57
76,54,59,57
76,54,59,57
76,54,59,57
76,54,59,57
76,54,59,57
76,54,59,57
74,55,59,59
74,55,59,59
74,55,59,59
74,55,59,59
74,55,59,59
74,55,59,59
74,55,59,59
74,55,59,59
74,55,59,59
74,55,59,59
74,55,59,59
74,55,59,59
74,55,59,59
81,61,60,69
81,61,60,69
79,70,64,83
79,70,64,83
79,70,64,83
79,70,64,83
79,70,64,83
79,70,64,83
79,70,64,83
79,70,64,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
79,77,67,83
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
78,80,66,77
84,85,68,70
84,85,68,70
84,85,68,70
84,85,68,70
84,85,68,70
84,85,68,70
84,85,68,70
84,85,68,70
84,85,68,70
84,85,68,70
84,85,68,70
84,85,68,70
84,85,68,70
84,85,68,70
80,84,65,83
80,84,65,83
80,84,65,83
80,84,65,83
80,84,65,83
80,84,65,83
80,84,65,83
80,84,65,83
80,84,65,83
80,84,65,83
80,84,65,83
80,84,65,83
80,84,65,83
80,84,65,83
80,84,65,83
80,84,65,83
80,84,65,83
80,84,65,83
80,84,65,83
80,84,65,83
80,84,65,83
80,84,65,83
80,84,65,83
80,84,65,83
80,84,65,83
80,84,65,83
80,84,65,83
80,84,65,83
80,84,65,83
80,84,65,83
80,84,65,83
80,84,65,83
80,84,65,83
80,84,65,83
80,84,65,83
