happiness,social,open_mindedness,giving
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
25,75,50,25
31,78,51,30
31,78,51,30
31,78,51,30
31,78,51,30
31,78,51,30
31,78,51,30
31,78,51,30
31,78,51,30
31,78,51,30
31,78,51,30
31,78,51,30
31,78,51,30
36,80,52,34
36,80,52,34
36,80,52,34
36,80,52,34
36,80,52,34
