happiness,social,open_mindedness,giving
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
90,90,90,90
92,89,90,92
92,89,90,92
92,89,90,92
92,89,90,92
92,89,90,92
92,89,90,92
92,89,90,92
92,89,90,92
92,89,90,92
92,89,90,92
92,89,90,92
92,89,90,92
92,89,90,92
92,89,90,92
92,89,90,92
92,89,90,92
92,89,90,92
92,89,90,92
92,89,90,92
92,89,90,92
92,89,90,92
92,89,90,92
92,89,90,92
92,89,90,92
92,89,90,92
92,89,90,92
92,89,90,92
92,89,90,92
92,89,90,92
92,89,90,92
92,89,90,92
92,89,90,92
92,89,90,92
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
93,89,90,93
87,86,89,92
87,86,89,92
87,86,89,92
87,86,89,92
76,83,87,82
76,83,87,82
76,83,87,82
76,83,87,82
76,83,87,82
76,83,87,82
76,83,87,82
76,83,87,82
76,83,87,82
76,83,87,82
76,83,87,82
76,83,87,82
76,83,87,82
