happiness,social,open_mindedness,giving
23,33,60,10
23,33,60,10
23,33,60,10
23,33,60,10
23,33,60,10
23,33,60,10
23,33,60,10
23,33,60,10
23,33,60,10
23,33,60,10
23,33,60,10
23,33,60,10
23,33,60,10
23,33,60,10
23,33,60,10
23,33,60,10
23,33,60,10
23,33,60,10
23,33,60,10
23,33,60,10
23,33,60,10
23,33,60,10
23,33,60,10
23,33,60,10
23,33,60,10
23,33,60,10
23,33,60,10
23,33,60,10
23,33,60,10
23,33,60,10
23,33,60,10
23,33,60,10
31,37,58,7
39,41,60,14
39,41,60,14
39,41,60,14
39,41,60,14
39,41,60,14
39,41,60,14
39,41,60,14
39,41,60,14
46,44,61,20
53,47,62,26
53,47,62,26
53,47,62,26
53,47,62,26
53,47,62,26
53,47,62,26
53,47,62,26
53,47,62,26
53,47,62,26
53,47,62,26
53,47,62,26
53,47,62,26
53,47,62,26
53,47,62,26
53,47,62,26
53,47,62,26
53,47,62,26
53,47,62,26
53,47,62,26
53,47,62,26
53,47,62,26
53,47,62,26
53,47,62,26
53,47,62,26
53,47,62,26
53,47,62,26
53,47,62,26
53,47,62,26
53,47,62,26
53,47,62,26
53,47,62,26
53,47,62,26
53,47,62,26
50,50,61,31
50,50,61,31
50,50,61,31
50,50,61,31
50,50,61,31
50,50,61,31
50,52,60,35
50,52,60,35
50,52,60,35
50,52,60,35
50,52,60,35
50,52,60,35
50,52,60,35
50,52,60,35
50,52,60,35
50,52,60,35
50,52,60,35
50,52,60,35
50,52,60,35
50,52,60,35
50,52,60,35
50,52,60,35
57,56,61,41
57,56,61,41
57,56,61,41
57,56,61,41
57,56,61,41
57,56,61,41
57,56,61,41
57,56,61,41
57,56,61,41
57,56,61,41
57,56,61,41
57,56,61,41
57,56,61,41
57,56,61,41
57,56,61,41
57,56,61,41
57,56,61,41
57,56,61,41
57,56,61,41
57,56,61,41
57,56,61,41
58,56,61,40
62,58,60,44
62,58,60,44
62,58,60,44
62,58,60,44
62,58,60,44
62,58,60,44
62,58,60,44
66,58,59,47
66,58,59,47
66,58,59,47
66,58,59,47
66,58,59,47
66,58,59,47
66,58,59,47
66,58,59,47
66,58,59,47
66,58,59,47
66,58,59,47
66,58,59,47
66,58,59,47
66,58,59,47
66,58,59,47
66,58,59,47
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
65,59,56,59
66,59,56,59
66,59,56,59
66,59,56,59
66,59,56,59
66,59,56,59
66,59,56,59
66,59,56,59
66,59,56,59
66,59,56,59
66,59,56,59
66,59,56,59
66,59,56,59
66,59,56,59
66,59,56,59
66,59,56,59
66,59,56,59
66,59,56,59
66,59,56,59
